fiber_no_support,poly_MonthlyCharges_service_adoption_score,total_charge_percentile,TotalCharges,MonthlyCharges,fiber_no_security,is_early_customer,has_fiber,charge_per_month,uses_electronic,paperless_no_auto,is_veteran_customer,is_loyal_customer,poly_service_adoption_score_charge_per_service,no_internet,is_low_charger,senior_month_to_month,service_adoption_pct,has_partner,has_auto_pay,is_one_year,Partner,young_family,service_adoption_score,PaperlessBilling,TechSupport,senior_alone,revenue_efficiency,has_family,trend_switch_carrier,OnlineSecurity,charge_above_median,SeniorCitizen,is_senior,has_dependents,is_single_service,Dependents,security_bundle,Churn_binary
0,0.0,0.22433622036064177,326.8,18.95,0,0,0,19.223529411764705,0,0,0,0,0.0,1,1,0,0.0,0,1,0,0,0,0,0,0,0,1.074293228139382,0,60.41,0,0,0,0,0,1,0,0,0
1,301.04999999999995,0.8798807326423399,5681.1,100.35,0,0,1,96.28983050847458,0,0,0,1,75.26249999999999,0,0,0,0.5,1,1,1,1,1,3,0,0,0,0.9759160325013315,1,60.41,0,1,0,0,0,0,0,1,0
1,414.8,0.841828766150788,5036.3,103.7,0,0,1,100.726,0,0,0,1,82.96000000000001,0,0,0,0.6666666666666666,0,1,0,0,0,4,1,0,0,0.9909489797926135,0,60.41,0,1,0,0,0,0,0,2,1
0,527.5,0.663353684509442,2686.05,105.5,0,0,1,103.3096153846154,1,1,0,0,87.91666666666666,0,0,0,0.8333333333333334,0,0,0,0,0,5,1,1,0,1.018021603183627,0,60.41,1,1,0,0,0,0,0,2,0
0,679.5,0.9858015050404657,7895.15,113.25,0,0,1,112.78785714285713,0,0,1,1,97.07142857142856,0,0,0,1.0,1,1,0,1,1,6,0,1,0,1.0102236012923451,1,60.41,1,1,0,0,1,0,1,3,0
0,0.0,0.41558994746556865,1022.95,20.65,0,0,0,19.300943396226415,0,0,0,1,0.0,1,1,0,0.0,0,0,1,0,0,0,0,0,0,0.9517584666914776,0,60.41,0,0,0,0,0,1,0,0,0
1,426.8,0.9687633110890246,7382.25,106.7,0,0,1,102.53125,0,0,1,1,85.36,0,0,0,0.6666666666666666,0,1,0,0,1,4,0,0,0,0.9743357926273972,1,60.41,1,1,0,0,1,0,1,2,0
0,110.4,0.29277296606559705,528.35,55.2,0,1,0,48.03181818181818,0,0,0,0,36.800000000000004,0,0,0,0.3333333333333333,1,1,0,1,1,2,0,1,0,0.9554249547920435,1,60.41,0,0,0,0,1,0,1,1,1
1,270.15,0.5783046997018316,1862.9,90.05,0,0,1,84.67727272727274,1,1,0,0,67.5375,0,0,0,0.5,0,0,0,0,0,3,1,0,0,0.9845934304061733,0,60.41,0,1,0,0,0,0,0,2,0
0,79.3,0.03464432770126367,39.65,39.65,0,1,0,19.825,1,1,0,0,26.433333333333334,0,0,1,0.3333333333333333,0,0,0,0,0,2,1,0,1,0.97539975399754,0,60.41,0,0,1,1,0,0,0,1,1
0,0.0,0.16874911259406503,202.25,19.8,0,1,0,15.557692307692308,0,0,0,0,0.0,1,1,0,0.0,1,1,1,1,1,0,0,0,0,0.8476529756915339,1,60.41,0,0,0,0,0,1,0,0,0
0,0.0,0.013985517535141274,20.15,20.15,0,1,0,10.075,0,0,0,0,0.0,1,1,0,0.0,0,0,0,0,0,0,0,0,0,0.9527186761229315,0,60.41,0,0,0,0,0,1,0,0,1
0,119.8,0.7290927161720857,3505.1,59.9,0,0,0,59.40847457627118,0,0,0,1,39.93333333333333,0,0,0,0.3333333333333333,1,1,0,1,1,2,1,1,0,1.0086038213627992,1,60.41,0,0,0,0,0,0,0,1,0
0,178.8,0.6849353968479341,2970.3,59.6,0,0,0,59.406000000000006,0,0,0,1,44.7,0,0,0,0.5,1,1,0,1,1,3,0,1,0,1.016738550010269,1,60.41,1,0,0,0,1,0,1,2,0
0,110.6,0.5270481328979129,1530.6,55.3,0,0,0,49.37419354838709,0,0,0,0,36.86666666666667,0,0,0,0.3333333333333333,0,1,0,0,0,2,1,0,0,0.9220481927710843,0,60.41,1,0,0,0,0,0,0,2,0
1,298.04999999999995,0.8196791140139146,4749.15,99.35,0,0,1,98.940625,1,1,0,0,74.51249999999999,0,0,0,0.5,1,0,0,1,1,3,1,0,0,1.0168506246721407,1,60.41,0,1,0,0,1,0,1,1,1
0,30.2,0.02910691466704529,30.2,30.2,0,1,0,15.1,1,0,0,0,15.1,0,1,0,0.16666666666666666,1,0,0,1,1,1,0,0,0,0.967948717948718,1,60.41,0,0,0,0,1,1,1,1,1
0,541.5,0.9221922476217521,6369.45,90.25,0,0,0,87.2527397260274,0,0,1,1,77.35714285714286,0,0,0,1.0,1,1,0,1,1,6,1,1,0,0.9800661640252346,1,60.41,1,1,0,0,0,0,0,3,0
0,129.4,0.43248615646741445,1093.1,64.7,0,0,0,60.727777777777774,0,1,0,0,43.13333333333333,0,0,0,0.3333333333333333,0,0,0,0,1,2,1,0,0,0.992914887819057,1,60.41,0,0,0,0,1,0,1,0,1
0,385.4,0.9424960954138861,6766.95,96.35,0,0,1,93.98541666666667,0,0,1,1,77.08,0,0,0,0.6666666666666666,1,1,0,1,0,4,1,1,0,0.9890526685034019,1,60.41,1,1,1,1,0,0,0,3,0
1,286.5,0.15852619622320033,181.65,95.5,0,1,1,60.550000000000004,0,0,0,0,71.625,0,0,1,0.5,1,1,0,1,0,3,1,0,0,0.9460937500000001,1,60.41,0,1,1,1,0,0,0,1,0
0,264.6,0.5802924889961664,1874.45,66.15,0,0,0,66.94464285714285,0,0,0,0,52.92,0,0,0,0.6666666666666666,1,0,1,1,1,4,0,1,0,1.0489074172518955,1,60.41,1,0,0,0,1,0,1,3,0
0,0.0,0.01519238960670169,20.2,20.2,0,1,0,10.1,0,0,0,0,0.0,1,1,0,0.0,0,1,0,0,0,0,0,0,0,0.9528301886792453,0,60.41,0,0,0,0,0,1,0,0,0
0,0.0,0.042879454777793556,45.25,45.25,0,1,0,22.625,0,0,0,0,0.0,0,0,1,0.0,0,1,0,0,0,0,0,0,1,0.9783783783783784,0,60.41,0,0,1,1,0,1,0,0,0
0,399.6,0.9636518529035922,7251.7,99.9,0,0,1,99.33835616438355,0,0,1,1,79.92,0,0,0,0.6666666666666666,1,1,0,1,1,4,0,1,0,1.0080485974033195,1,60.41,1,1,0,0,1,0,1,2,0
1,0.0,0.21972170949879313,316.9,69.7,1,1,1,52.81666666666666,1,1,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,1,0,0,0.9067238912732475,0,60.41,0,0,0,0,0,1,0,0,1
1,74.8,0.7330682947607554,3548.3,74.8,0,0,1,75.49574468085106,0,0,0,0,37.4,0,0,0,0.16666666666666666,0,1,0,0,0,1,1,0,0,1.0309431111627638,0,60.41,0,1,0,0,0,1,0,1,0
1,425.4,0.7332102797103507,3549.25,106.35,0,0,1,101.40714285714286,1,1,0,0,85.08,0,0,0,0.6666666666666666,0,0,0,0,0,4,1,0,0,0.9812961375763777,0,60.41,0,1,0,0,0,0,0,2,1
1,293.54999999999995,0.43475791566093996,1105.4,97.85,0,1,1,92.11666666666667,0,0,0,0,73.38749999999999,0,0,0,0.5,0,1,0,0,0,3,1,0,0,1.0260361071146797,0,60.41,0,1,0,0,0,0,0,1,1
0,49.55,0.27644469686213263,475.7,49.55,0,1,0,43.24545454545454,0,0,0,0,24.775,0,0,0,0.16666666666666666,1,0,1,1,1,1,0,0,0,0.9581067472306143,1,60.41,0,0,0,0,1,1,1,1,0
0,207.60000000000002,0.8287661507880165,4872.35,69.2,0,0,0,68.62464788732395,0,0,1,1,51.900000000000006,0,0,0,0.5,1,1,0,1,1,3,1,0,0,1.0056449948400414,1,60.41,1,0,0,0,1,0,1,2,0
0,0.0,0.25670878886837994,418.25,20.75,0,0,0,23.23611111111111,0,0,0,0,0.0,1,1,0,0.0,1,0,1,1,1,0,0,0,0,1.1823321554770319,1,60.41,0,0,0,0,1,1,1,0,0
0,399.25,0.827346301292063,4861.45,79.85,0,0,0,75.96015625,0,0,1,1,66.54166666666666,0,0,0,0.8333333333333334,0,1,0,0,0,5,1,1,0,0.9661933201498545,0,60.41,1,1,0,0,0,0,0,3,0
0,304.8,0.4072128354394434,981.45,76.2,0,0,0,70.10357142857143,1,1,0,0,60.96,0,0,0,0.6666666666666666,1,0,0,1,1,4,1,1,0,0.9897640177490924,1,60.41,1,1,0,0,0,0,0,2,0
1,84.5,0.7590515405367031,3906.7,84.5,1,0,1,78.134,1,1,0,1,42.25,0,0,0,0.16666666666666666,0,0,0,0,0,1,1,0,0,0.9433055656163225,0,60.41,0,1,0,0,0,1,0,0,0
0,49.25,0.11401391452506035,97.0,49.25,0,1,0,32.333333333333336,0,0,0,0,24.625,0,0,0,0.16666666666666666,0,0,0,0,0,1,0,0,0,0.9748743718592965,0,60.41,0,0,0,0,0,1,0,1,0
1,80.65,0.13666051398551754,144.15,80.65,1,1,1,48.050000000000004,1,1,0,0,40.325,0,0,0,0.16666666666666666,0,0,0,0,0,1,1,0,0,0.8881700554528651,0,60.41,0,1,0,0,0,1,0,0,1
0,319.0,0.7829050120687208,4217.8,79.75,0,0,0,79.5811320754717,0,0,0,1,63.8,0,0,0,0.6666666666666666,0,1,0,0,0,4,1,1,0,1.0168273866923818,0,60.41,1,1,0,0,0,0,0,1,0
0,192.45000000000002,0.7850347863126509,4254.1,64.15,0,0,0,60.77285714285715,0,0,1,1,48.112500000000004,0,0,0,0.5,1,1,0,1,1,3,1,1,0,0.9608682394660463,1,60.41,1,0,0,0,1,0,1,2,0
1,180.5,0.7533721425528894,3838.75,90.25,0,0,1,87.24431818181819,1,1,0,0,60.166666666666664,0,0,1,0.3333333333333333,0,0,0,0,0,2,1,0,1,0.98892252205835,0,60.41,0,1,1,1,0,0,0,1,0
1,396.4,0.5085900894505182,1426.4,99.1,0,0,1,89.15,0,0,0,0,79.28,0,0,0,0.6666666666666666,0,1,0,0,0,4,1,0,0,0.9589243697478992,0,60.41,1,1,0,0,0,0,0,2,1
0,208.5,0.5609825358511997,1752.65,69.5,0,0,0,67.40961538461539,0,0,0,0,52.125,0,0,1,0.5,1,1,0,1,0,3,1,1,0,1.0081392004601668,1,60.41,1,0,1,1,0,0,0,1,0
1,80.65,0.32116995598466563,633.3,80.65,0,1,1,70.36666666666666,0,0,0,0,40.325,0,0,1,0.16666666666666666,1,1,0,1,0,1,1,0,0,0.980037140204271,1,60.41,0,1,1,1,0,1,0,1,1
0,374.25,0.7989493113729944,4456.35,74.85,0,0,0,73.05491803278689,0,0,1,1,62.375,0,0,0,0.8333333333333334,1,1,1,1,0,5,1,1,0,0.9920636687444346,1,60.41,1,1,1,1,1,0,1,3,0
1,190.9,0.5608405509016045,1752.55,95.45,1,0,1,92.23947368421052,1,1,0,0,63.63333333333333,0,0,1,0.3333333333333333,0,0,0,0,0,2,1,0,1,1.0194578558548077,0,60.41,0,1,1,1,0,0,0,0,1
1,298.95000000000005,0.9189265937810592,6311.2,99.65,0,0,1,98.6125,0,0,1,1,74.73750000000001,0,0,0,0.5,1,1,1,1,1,3,1,0,0,1.0051362090795435,1,60.41,1,1,0,0,1,0,1,1,0
0,542.25,0.9568365753230158,7076.35,108.45,0,0,1,105.61716417910448,1,1,1,1,90.375,0,0,0,0.8333333333333334,1,0,1,1,0,5,1,1,0,0.9884965147303282,1,60.41,0,1,1,1,1,0,1,2,0
0,0.0,0.38705097259690474,894.3,24.95,0,0,0,25.55142857142857,0,0,0,0,0.0,1,1,0,0.0,1,1,0,1,1,0,0,0,0,1.0529848110208406,1,60.41,0,0,0,0,1,1,1,0,0
0,430.0,0.9839557006957262,7853.7,107.5,0,0,1,107.58493150684932,0,0,1,1,86.0,0,0,0,0.6666666666666666,0,1,0,0,0,4,1,1,0,1.0145588425268053,0,60.41,0,1,0,0,0,0,0,1,0
1,301.5,0.8161294902740309,4707.1,100.5,0,0,1,98.06458333333335,1,1,0,0,75.375,0,0,0,0.5,1,0,0,1,1,3,1,0,0,0.9963170705894805,1,60.41,0,1,0,0,0,0,0,1,0
1,179.8,0.8649723129348289,5450.7,89.9,0,0,1,89.35573770491803,0,0,1,1,59.93333333333334,0,0,0,0.3333333333333333,0,1,0,0,0,2,1,0,0,1.01032437442076,0,60.41,0,1,0,0,0,0,0,1,0
0,126.30000000000001,0.6839415022007668,2962.0,42.1,0,0,0,40.57534246575342,0,0,1,1,31.575000000000003,0,0,0,0.5,1,1,0,1,1,3,0,0,0,0.9768484928434799,1,60.41,1,0,0,0,0,0,0,3,0
0,108.8,0.40238534715320173,957.1,54.4,0,0,0,50.373684210526314,0,0,0,0,36.266666666666666,0,0,0,0.3333333333333333,1,1,1,1,1,2,1,1,0,0.9764333809426649,1,60.41,0,0,0,0,1,0,1,1,0
1,188.8,0.3785318756211842,857.25,94.4,1,1,1,85.725,1,0,0,0,62.93333333333334,0,0,0,0.3333333333333333,0,0,0,0,0,2,0,0,0,1.0078180108158947,0,60.41,0,1,0,0,0,0,0,0,1
0,301.2,0.18855601306261535,244.1,75.3,0,1,0,61.025,1,1,0,0,60.239999999999995,0,0,0,0.6666666666666666,0,0,0,0,0,4,1,1,0,1.0758043190832967,0,60.41,0,1,0,0,0,0,0,1,0
1,78.9,0.7408774669884992,3650.35,78.9,0,0,1,76.04895833333333,1,1,0,0,39.45,0,0,0,0.16666666666666666,1,0,1,1,1,1,1,0,0,0.9841075135470304,1,60.41,0,1,0,0,0,1,0,1,0
0,396.0,0.6449666335368451,2497.2,79.2,0,0,0,78.0375,0,0,0,0,66.0,0,0,0,0.8333333333333334,0,0,0,0,0,5,0,1,0,1.0166924517547429,0,60.41,0,1,0,0,0,0,0,2,0
0,0.0,0.39599602442141135,930.9,20.15,0,0,0,18.25294117647059,0,0,0,1,0.0,1,1,0,0.0,1,1,0,1,1,0,0,0,0,0.9230540406544374,1,60.41,0,0,0,0,1,1,1,0,0
1,159.7,0.38506318330256994,887.35,79.85,0,1,1,80.66818181818182,0,1,0,0,53.23333333333333,0,0,0,0.3333333333333333,0,0,0,0,0,2,1,0,0,1.1098811757348344,0,60.41,1,1,0,0,0,0,0,2,0
0,49.05,0.049268777509583986,49.05,49.05,0,1,0,24.525,0,0,0,0,24.525,0,0,0,0.16666666666666666,0,0,0,0,0,1,0,1,0,0.98001998001998,0,60.41,0,0,0,0,0,1,0,0,0
0,0.0,0.4320602016186284,1090.65,20.4,0,0,0,20.578301886792456,1,1,0,1,0.0,1,1,0,0.0,1,0,1,1,1,0,1,0,0,1.0271708419664722,1,60.41,0,0,0,0,1,1,1,0,0
0,558.0,0.9575465000709925,7099.0,111.6,0,0,1,109.21538461538462,0,0,1,1,92.99999999999999,0,0,0,0.8333333333333334,1,1,0,1,0,5,1,1,0,0.9937844723800991,1,60.41,1,1,1,1,1,0,1,2,0
0,0.0,0.5080221496521369,1424.6,24.25,0,0,0,22.61269841269841,0,0,1,1,0.0,1,1,0,0.0,1,1,0,1,1,0,1,0,0,0.9468926553672316,1,60.41,0,0,0,0,1,1,1,0,0
0,193.5,0.15618344455487718,177.4,64.5,0,1,0,44.35,0,0,0,0,48.375,0,0,0,0.5,0,1,0,0,1,3,1,1,0,0.9120822622107969,1,60.41,1,0,0,0,1,0,1,1,0
1,552.5,0.9098395570069573,6139.5,110.5,0,0,1,107.71052631578948,1,0,0,1,92.08333333333334,0,0,0,0.8333333333333334,0,0,1,0,0,5,0,0,1,0.9920019389238972,0,60.41,1,1,1,1,0,0,0,3,0
0,55.65,0.6636376544086326,2688.85,55.65,0,0,0,57.2095744680851,0,0,0,0,27.825,0,0,0,0.16666666666666666,0,1,1,0,0,1,0,0,0,1.0499629036666795,0,60.41,0,0,0,0,0,1,0,0,0
0,109.3,0.2781485162572767,482.25,54.65,0,1,0,53.583333333333336,0,0,0,0,36.43333333333333,0,0,0,0.3333333333333333,1,0,0,1,1,2,0,0,0,1.100524874486536,1,60.41,1,0,0,0,1,0,1,2,0
0,299.0,0.6069856595200909,2111.3,74.75,0,0,0,68.10645161290323,1,1,0,0,59.8,0,0,1,0.6666666666666666,0,0,0,0,0,4,1,0,1,0.9410742143971474,0,60.41,1,1,1,1,0,0,0,2,0
0,0.0,0.4591793269913389,1216.6,25.9,0,0,0,26.44782608695652,0,0,0,0,0.0,1,1,0,0.0,1,1,1,1,1,0,1,0,0,1.0429489927132447,1,60.41,0,0,0,0,1,1,1,0,0
1,79.35,0.09278716456055658,79.35,79.35,1,1,1,39.675,1,1,0,0,39.675,0,0,0,0.16666666666666666,0,0,0,0,1,1,1,0,0,0.9875544492843809,1,60.41,0,1,0,0,1,1,1,0,1
0,151.64999999999998,0.30356382223484313,565.35,50.55,0,1,0,47.112500000000004,1,0,0,0,37.912499999999994,0,0,0,0.5,1,0,0,1,1,3,0,0,0,1.0148999192173056,1,60.41,1,0,0,0,1,0,1,1,0
1,75.15,0.2829760045435184,496.9,75.15,0,1,1,62.1125,0,0,0,0,37.575,0,0,0,0.16666666666666666,1,1,0,1,1,1,1,0,0,0.9427948012522529,1,60.41,0,1,0,0,0,1,0,1,1
0,519.0,0.791282124094846,4327.5,103.8,0,0,1,100.63953488372093,0,0,0,0,86.5,0,0,0,0.8333333333333334,0,1,0,0,0,5,1,1,0,0.9924093014722746,0,60.41,0,1,0,0,0,0,0,2,0
0,0.0,0.40579298594349,973.35,20.15,0,0,0,19.467,0,0,0,1,0.0,1,1,0,0.0,1,1,0,1,1,0,1,0,0,0.9848231901654273,1,60.41,0,0,0,0,0,1,0,0,0
1,297.9,0.3925883856311231,918.75,99.3,0,1,1,91.875,0,0,0,0,74.475,0,0,0,0.5,0,1,0,0,0,3,1,0,0,1.02688051860959,0,60.41,0,1,0,0,0,0,0,1,0
0,124.3,0.6177765156893369,2215.45,62.15,0,0,0,61.540277777777774,0,0,0,0,41.43333333333333,0,0,0,0.3333333333333333,1,1,1,1,1,2,1,0,0,1.0180126364158528,1,60.41,1,0,0,0,0,0,0,1,0
0,0.0,0.4241090444412892,1057.0,20.65,0,0,0,21.571428571428573,0,0,0,1,0.0,1,1,0,0.0,1,1,0,1,1,0,0,0,0,1.0653094134247127,1,60.41,0,0,0,0,1,1,1,0,0
0,0.0,0.39443418997586255,927.1,19.95,0,0,0,19.72553191489362,0,1,0,0,0.0,1,1,0,0.0,1,0,0,1,1,0,1,0,0,1.009143354740394,1,60.41,0,0,0,0,1,1,1,0,0
0,33.75,0.4127502484736618,1009.25,33.75,0,0,0,33.641666666666666,0,0,0,0,16.875,0,1,0,0.16666666666666666,1,0,0,1,1,1,0,0,0,1.0301097218678235,1,60.41,0,0,0,0,0,1,0,0,0
1,164.1,0.6522078659662076,2570.2,82.05,0,0,1,82.90967741935484,0,0,0,0,54.699999999999996,0,0,0,0.3333333333333333,1,1,0,1,1,2,0,0,0,1.043736040609137,1,60.41,0,1,0,0,1,0,1,2,0
0,74.7,0.08497799233281272,74.7,74.7,1,1,1,37.35,1,0,0,0,37.35,0,0,1,0.16666666666666666,0,0,0,0,0,1,0,1,1,0.9867899603698811,0,60.41,0,1,1,1,0,1,0,0,0
0,420.0,0.8825784466846515,5714.25,84.0,0,0,0,85.28731343283582,0,1,1,1,70.0,0,0,0,0.8333333333333334,1,0,0,1,1,5,1,1,0,1.0305229936880071,1,60.41,1,1,0,0,1,0,1,2,0
1,555.25,0.9579724549197784,7107.0,111.05,0,0,1,107.68181818181819,0,0,1,1,92.54166666666666,0,0,0,0.8333333333333334,0,1,0,0,0,5,1,0,0,0.9844512934169062,0,60.41,1,1,0,0,0,0,0,3,0
1,403.6,0.9711770552321454,7459.05,100.9,0,0,1,102.17876712328767,0,0,1,1,80.72,0,0,0,0.6666666666666666,0,1,0,0,0,4,1,0,0,1.0265972088414215,0,60.41,0,1,0,0,0,0,0,2,0
1,78.95,0.39471815987505326,927.35,78.95,0,1,1,71.33461538461539,1,1,0,0,39.475,0,0,0,0.16666666666666666,0,0,0,0,0,1,1,0,0,0.9778047237452551,0,60.41,1,1,0,0,0,1,0,1,1
0,200.54999999999998,0.8195371290643192,4748.7,66.85,0,0,0,65.95416666666667,0,0,1,1,50.137499999999996,0,0,0,0.5,1,1,1,1,1,3,1,1,0,1.0002843691743817,1,60.41,1,0,0,0,1,0,1,2,0
0,0.0,0.12267499645037626,113.85,21.05,0,1,0,18.974999999999998,0,0,0,0,0.0,1,1,0,0.0,0,0,0,0,0,0,0,0,0,1.0715294117647058,0,60.41,0,0,0,0,0,1,0,0,1
0,0.0,0.4348999006105353,1107.2,21.0,0,0,0,20.89056603773585,0,0,0,1,0.0,1,1,0,0.0,0,1,0,0,0,0,0,0,0,1.0129917657822507,0,60.41,0,0,0,0,0,1,0,0,0
1,394.0,0.6467414454067869,2514.5,98.5,0,0,1,96.71153846153847,1,1,0,0,78.8,0,0,1,0.6666666666666666,1,0,0,1,0,4,1,0,0,1.0207022528922265,1,60.41,0,1,1,1,0,0,0,2,1
0,0.0,0.01519238960670169,20.2,20.2,0,1,0,10.1,0,0,0,0,0.0,1,1,0,0.0,0,0,0,0,0,0,0,0,0,0.9528301886792453,0,60.41,0,0,0,0,0,1,0,0,0
0,0.0,0.004046571063467273,19.45,19.45,0,1,0,9.725,1,0,0,0,0.0,1,1,0,0.0,1,0,0,1,1,0,0,0,0,0.9511002444987775,1,60.41,0,0,0,0,1,1,1,0,0
0,285.0,0.737043873349425,3605.6,95.0,0,0,1,92.45128205128205,0,0,0,0,71.25,0,0,0,0.5,0,1,1,0,0,3,0,1,0,0.9985045693713652,0,60.41,0,1,0,0,0,0,0,1,0
0,136.64999999999998,0.6907567797813432,3027.25,45.55,0,0,0,45.18283582089552,0,0,1,1,34.162499999999994,0,0,0,0.5,1,1,1,1,0,3,0,0,0,1.0066338576131415,1,60.41,0,0,1,1,0,0,0,2,0
0,550.0,0.9768564532159592,7611.85,110.0,0,0,1,110.31666666666668,0,0,1,1,91.66666666666666,0,0,0,0.8333333333333334,1,1,0,1,1,5,1,1,0,1.0174909771420932,1,60.41,0,1,0,0,0,0,0,2,1
0,0.0,0.11557574897060911,100.2,24.3,0,1,0,16.7,0,0,0,0,0.0,0,1,0,0.0,0,0,0,0,0,0,0,0,0,0.8179591836734694,0,60.41,0,0,0,0,0,1,0,0,0
1,416.6,0.965639642197927,7303.05,104.15,0,0,1,100.04178082191781,1,1,1,1,83.32000000000001,0,0,0,0.6666666666666666,1,0,1,1,1,4,1,0,0,0.9737659670924558,1,60.41,1,1,0,0,1,0,1,2,0
0,30.15,0.3948601448246486,927.65,30.15,0,0,0,28.11060606060606,0,0,0,0,15.075,0,1,0,0.16666666666666666,0,0,1,0,0,1,0,0,0,0.9604990681300476,0,60.41,1,0,0,0,0,1,0,1,0
1,188.7,0.7600454351838705,3921.3,94.35,1,0,1,89.12045454545455,0,0,0,0,62.9,0,0,0,0.3333333333333333,0,0,1,0,0,2,0,0,0,0.9663015487734258,0,60.41,0,1,0,0,0,0,0,0,0
0,0.0,0.4912679255998864,1363.25,19.4,0,0,0,18.674657534246574,0,0,1,1,0.0,1,1,0,0.0,1,1,0,1,1,0,0,0,0,0.9752825869223065,1,60.41,0,0,0,0,1,1,1,0,0
1,290.25,0.8531875621184154,5238.9,96.75,0,0,1,93.55178571428571,1,1,0,1,72.5625,0,0,0,0.5,1,0,0,1,1,3,1,0,0,0.9843393301705106,1,60.41,1,1,0,0,0,0,0,2,1
0,173.85000000000002,0.6920346443277012,3042.25,57.95,0,0,0,57.40094339622642,0,0,0,1,43.462500000000006,0,0,0,0.5,0,1,1,0,0,3,0,1,0,1.0092389861995754,0,60.41,1,0,0,0,0,0,0,2,0
1,274.95000000000005,0.7624591793269914,3954.1,91.65,0,0,1,89.86590909090908,1,1,0,0,68.73750000000001,0,0,0,0.5,0,0,0,0,0,3,1,0,0,1.0030822308755818,0,60.41,0,1,0,0,0,0,0,2,0
1,0.0,0.6767002697714042,2868.15,76.5,1,0,1,75.47763157894737,1,1,0,0,0.0,0,0,1,0.0,1,0,0,1,0,0,1,0,0,1.0129436694331626,1,60.41,0,1,1,1,0,1,0,0,1
0,218.4,0.7225614084906999,3423.5,54.6,0,0,0,52.66923076923077,1,1,1,1,43.68,0,0,0,0.6666666666666666,1,0,0,1,1,4,1,1,0,0.9794301081421296,1,60.41,0,0,0,0,1,0,1,1,0
1,269.54999999999995,0.19111174215533153,248.4,89.85,0,1,1,62.1,1,0,0,0,67.38749999999999,0,0,0,0.5,1,0,0,1,1,3,0,0,0,0.9181297357235263,1,60.41,1,1,0,0,1,0,1,2,0
0,31.05,0.4395854039471816,1126.35,31.05,0,0,0,30.44189189189189,0,0,0,0,15.525,0,1,0,0.16666666666666666,0,1,0,0,0,1,0,0,0,1.006748301751877,0,60.41,1,0,0,0,0,1,0,1,0
