tenure,Churn_binary,MonthlyCharges,Contract,InternetService,is_month_to_month,is_new_customer,is_high_charger,service_adoption_score,base_risk_score,advanced_risk_score,has_fiber,fiber_no_security,charge_per_service
60,0,74.85,One year,DSL,0,0,0,5,0,0.0,0,0,12.475
18,1,95.45,Month-to-month,Fiber optic,1,0,1,2,5,11.0,1,1,31.816666666666666
63,0,99.65,One year,Fiber optic,0,0,1,3,1,2.5,1,0,24.9125
66,0,108.45,One year,Fiber optic,0,0,1,5,2,4.5,1,0,18.075
34,0,24.95,Two year,No,0,0,0,0,2,2.0,0,0,24.95
72,0,107.5,Two year,Fiber optic,0,0,1,4,1,2.5,1,0,21.5
47,0,100.5,Month-to-month,Fiber optic,1,0,1,3,5,7.5,1,0,25.125
60,0,89.9,Month-to-month,Fiber optic,1,0,1,2,4,5.5,1,0,29.96666666666667
72,0,42.1,Two year,DSL,0,0,0,3,0,0.0,0,0,10.525
18,0,54.4,One year,DSL,0,0,0,2,0,0.0,0,0,18.133333333333333
9,1,94.4,Month-to-month,Fiber optic,1,0,1,2,5,8.5,1,1,31.46666666666667
3,0,75.3,Month-to-month,DSL,1,1,0,4,6,7.0,0,0,15.059999999999999
47,0,78.9,One year,Fiber optic,0,0,0,1,3,4.0,1,0,39.45
31,0,79.2,Two year,DSL,0,0,0,5,1,1.0,0,0,13.200000000000001
50,0,20.15,Two year,No,0,0,0,0,2,2.0,0,0,20.15
10,0,79.85,Month-to-month,Fiber optic,1,0,0,2,4,5.0,1,0,26.616666666666664
1,0,49.05,Month-to-month,DSL,1,1,0,1,8,8.0,0,0,24.525
52,0,20.4,One year,No,0,0,0,0,3,4.0,0,0,20.4
64,0,111.6,Two year,Fiber optic,0,0,1,5,1,2.5,1,0,18.599999999999998
62,0,24.25,Two year,No,0,0,0,0,2,2.0,0,0,24.25
3,0,64.5,Month-to-month,DSL,1,1,0,3,5,5.0,0,0,16.125
56,0,110.5,One year,Fiber optic,0,0,1,5,2,3.5,1,0,18.416666666666668
46,0,55.65,One year,DSL,0,0,0,1,2,2.0,0,0,27.825
8,0,54.65,Month-to-month,DSL,1,0,0,2,4,4.0,0,0,18.216666666666665
30,0,74.75,Month-to-month,DSL,1,0,0,4,4,6.5,0,0,14.95
45,0,25.9,One year,No,0,0,0,0,2,2.0,0,0,25.9
1,1,79.35,Month-to-month,Fiber optic,1,1,0,1,8,11.0,1,1,39.675
11,0,50.55,Month-to-month,DSL,1,0,0,3,4,4.0,0,0,12.6375
7,1,75.15,Month-to-month,Fiber optic,1,0,0,1,5,5.0,1,0,37.575
42,0,103.8,Month-to-month,Fiber optic,1,0,1,5,4,5.5,1,0,17.3
49,0,20.15,Two year,No,0,0,0,0,2,2.0,0,0,20.15
9,0,99.3,Month-to-month,Fiber optic,1,0,1,3,4,5.5,1,0,24.825
35,0,62.15,One year,DSL,0,0,0,2,0,0.0,0,0,20.716666666666665
48,0,20.65,Two year,No,0,0,0,0,2,2.0,0,0,20.65
46,0,19.95,Two year,No,0,0,0,0,3,4.0,0,0,19.95
29,0,33.75,Month-to-month,DSL,1,0,0,1,6,6.0,0,0,16.875
30,0,82.05,Month-to-month,Fiber optic,1,0,0,2,3,3.0,1,0,27.349999999999998
1,0,74.7,Month-to-month,Fiber optic,1,1,0,1,8,11.5,1,1,37.35
66,0,84.0,Two year,DSL,0,0,0,5,1,2.0,0,0,14.0
65,0,111.05,Month-to-month,Fiber optic,1,0,1,5,4,5.5,1,0,18.508333333333333
72,0,100.9,Two year,Fiber optic,0,0,1,4,1,2.5,1,0,20.18
12,1,78.95,Month-to-month,Fiber optic,1,0,0,1,6,7.0,1,0,39.475
71,0,66.85,One year,DSL,0,0,0,3,0,0.0,0,0,16.7125
5,1,21.05,Month-to-month,No,1,1,0,0,8,8.0,0,0,21.05
52,0,21.0,Two year,No,0,0,0,0,2,2.0,0,0,21.0
25,1,98.5,Month-to-month,Fiber optic,1,0,1,4,5,9.0,1,0,19.7
1,0,20.2,Month-to-month,No,1,1,0,0,8,8.0,0,0,20.2
1,0,19.45,Month-to-month,No,1,1,0,0,8,8.0,0,0,19.45
38,0,95.0,One year,Fiber optic,0,0,1,3,1,2.5,1,0,23.75
66,0,45.55,One year,DSL,0,0,0,3,0,0.0,0,0,11.3875
68,1,110.0,Two year,Fiber optic,0,0,1,5,1,2.5,1,0,18.333333333333332
5,0,24.3,Month-to-month,DSL,1,1,0,0,8,8.0,0,0,24.3
72,0,104.15,One year,Fiber optic,0,0,1,4,2,4.5,1,0,20.830000000000002
32,0,30.15,One year,DSL,0,0,0,1,3,3.0,0,0,15.075
43,0,94.35,One year,Fiber optic,0,0,1,2,2,5.5,1,1,31.45
72,0,19.4,Two year,No,0,0,0,0,2,2.0,0,0,19.4
55,1,96.75,Month-to-month,Fiber optic,1,0,1,3,5,7.5,1,0,24.1875
52,0,57.95,One year,DSL,0,0,0,3,0,0.0,0,0,14.4875
43,0,91.65,Month-to-month,Fiber optic,1,0,1,3,5,7.5,1,0,22.9125
37,1,76.5,Month-to-month,Fiber optic,1,0,0,0,6,10.5,1,1,76.5
64,0,54.6,Two year,DSL,0,0,0,4,1,2.0,0,0,10.92
3,0,89.85,Month-to-month,Fiber optic,1,1,0,3,6,6.0,1,0,22.4625
36,0,31.05,Two year,DSL,0,0,0,1,2,2.0,0,0,15.525
10,1,100.25,Month-to-month,Fiber optic,1,0,1,3,5,7.5,1,0,25.0625
41,0,20.65,Two year,No,0,0,0,0,3,3.0,0,0,20.65
27,0,85.2,Month-to-month,Fiber optic,1,0,0,2,3,3.0,1,0,28.400000000000002
56,0,99.8,One year,Fiber optic,0,0,1,3,1,2.5,1,0,24.95
6,0,20.7,Month-to-month,No,1,1,0,0,8,8.0,0,0,20.7
3,1,74.4,Month-to-month,Fiber optic,1,1,0,0,8,11.0,1,1,74.4
7,0,50.7,Month-to-month,DSL,1,0,0,1,6,6.0,0,0,25.35
4,0,20.85,Month-to-month,No,1,1,0,0,8,8.0,0,0,20.85
33,0,88.95,Two year,Fiber optic,0,0,0,3,1,2.0,1,0,22.2375
27,1,78.05,Month-to-month,Fiber optic,1,0,0,1,6,8.5,1,0,39.025
72,0,23.55,Two year,No,0,0,0,0,2,2.0,0,0,23.55
1,0,19.75,Month-to-month,No,1,1,0,0,8,8.0,0,0,19.75
71,0,56.45,One year,DSL,0,0,0,4,1,2.0,0,0,11.290000000000001
13,0,85.95,Month-to-month,Fiber optic,1,0,0,1,6,9.0,1,1,42.975
25,1,58.6,Month-to-month,DSL,1,0,0,5,3,3.0,0,0,9.766666666666667
67,0,50.55,Two year,DSL,0,0,0,1,2,2.0,0,0,25.275
1,1,35.45,Month-to-month,DSL,1,1,0,1,8,9.0,0,0,17.725
2,1,44.35,Month-to-month,DSL,1,1,0,0,8,8.0,0,0,44.35
43,0,25.7,Two year,No,0,0,0,0,2,2.0,0,0,25.7
23,0,75.0,Month-to-month,Fiber optic,1,0,0,1,5,5.0,1,0,37.5
64,0,20.2,Two year,No,0,0,0,0,3,3.0,0,0,20.2
57,0,19.6,Two year,No,0,0,0,0,3,4.0,0,0,19.6
1,1,70.45,Month-to-month,Fiber optic,1,1,0,0,8,12.5,1,1,70.45
72,0,88.05,Two year,DSL,0,0,0,6,0,0.0,0,0,12.578571428571427
8,1,71.15,Month-to-month,DSL,1,0,0,3,4,4.0,0,0,17.7875
61,0,101.05,Two year,Fiber optic,0,0,1,3,1,2.5,1,0,25.2625
64,0,84.3,One year,Fiber optic,0,0,0,2,0,0.0,1,0,28.099999999999998
71,0,23.95,Two year,No,0,0,0,0,2,2.0,0,0,23.95
65,0,99.05,Two year,Fiber optic,0,0,1,4,1,2.5,1,0,19.81
3,0,19.6,One year,No,0,1,0,0,5,5.0,0,0,19.6
1,1,45.65,Month-to-month,DSL,1,1,0,0,8,9.0,0,0,45.65
30,0,64.5,One year,DSL,0,0,0,3,0,0.0,0,0,16.125
15,0,69.5,Month-to-month,DSL,1,0,0,4,4,5.0,0,0,13.9
8,0,68.55,Month-to-month,DSL,1,0,0,3,4,5.0,0,0,17.1375
7,1,95.0,Month-to-month,Fiber optic,1,0,1,2,5,8.5,1,1,31.666666666666668
70,0,108.15,One year,Fiber optic,0,0,1,5,1,2.5,1,0,18.025000000000002
62,0,86.1,Two year,DSL,0,0,0,6,1,1.0,0,0,12.299999999999999
6,0,19.7,Month-to-month,No,1,1,0,0,8,8.0,0,0,19.7
14,0,80.9,Month-to-month,Fiber optic,1,0,0,1,5,7.0,1,1,40.45
22,0,84.15,Month-to-month,Fiber optic,1,0,0,1,5,7.0,1,1,42.075
22,0,20.15,One year,No,0,0,0,0,3,3.0,0,0,20.15
16,0,64.25,Two year,DSL,0,0,0,3,1,1.0,0,0,16.0625
10,0,25.7,Two year,No,0,0,0,0,2,2.0,0,0,25.7
13,0,56.0,Month-to-month,DSL,1,0,0,2,4,5.0,0,0,18.666666666666668
20,1,82.4,Month-to-month,Fiber optic,1,0,0,1,6,6.0,1,0,41.2
2,0,69.7,Month-to-month,Fiber optic,1,1,0,0,8,11.0,1,1,69.7
53,0,73.9,Two year,DSL,0,0,0,4,0,0.0,0,0,14.780000000000001
11,0,20.6,One year,No,0,0,0,0,3,3.0,0,0,20.6
69,0,19.9,Two year,No,0,0,0,0,3,3.0,0,0,19.9
4,1,70.9,Month-to-month,Fiber optic,1,1,0,0,7,9.0,1,1,70.9
72,0,89.05,Two year,DSL,0,0,0,6,0,0.0,0,0,12.721428571428572
58,1,45.3,Month-to-month,DSL,1,0,0,3,4,6.5,0,0,11.325
16,0,20.4,Month-to-month,No,1,0,0,0,6,6.0,0,0,20.4
43,0,84.25,One year,Fiber optic,0,0,0,3,0,0.0,1,0,21.0625
2,1,104.4,Month-to-month,Fiber optic,1,1,1,4,7,9.5,1,0,20.880000000000003
14,0,81.95,Two year,DSL,0,0,0,5,1,1.0,0,0,13.658333333333333
53,1,94.85,One year,Fiber optic,0,0,1,3,1,2.5,1,0,23.7125
32,0,20.55,One year,No,0,0,0,0,2,2.0,0,0,20.55
34,0,24.7,Month-to-month,No,1,0,0,0,6,6.0,0,0,24.7
15,1,74.45,Month-to-month,Fiber optic,1,0,0,0,6,10.5,1,1,74.45
7,1,76.45,Month-to-month,Fiber optic,1,0,0,1,5,6.5,1,0,38.225
15,0,105.35,Month-to-month,Fiber optic,1,0,1,4,4,5.5,1,0,21.07
61,0,20.55,One year,No,0,0,0,0,2,2.0,0,0,20.55
1,1,29.95,Month-to-month,DSL,1,1,0,1,7,7.0,0,0,14.975
1,0,45.3,Month-to-month,DSL,1,1,0,0,8,8.0,0,0,45.3
8,1,84.5,Month-to-month,Fiber optic,1,0,0,1,5,7.0,1,1,42.25
33,0,74.75,One year,DSL,0,0,0,4,0,0.0,0,0,14.95
13,1,79.25,Month-to-month,Fiber optic,1,0,0,2,4,5.0,1,0,26.416666666666668
1,1,24.8,Month-to-month,DSL,1,1,0,0,8,9.0,0,0,24.8
20,0,51.8,Month-to-month,DSL,1,0,0,1,6,7.0,0,0,25.9
3,0,30.4,Month-to-month,DSL,1,1,0,1,8,8.0,0,0,15.2
13,0,19.65,One year,No,0,0,0,0,3,3.0,0,0,19.65
40,0,56.6,Month-to-month,DSL,1,0,0,1,5,5.0,0,0,28.3
43,0,71.9,One year,DSL,0,0,0,3,0,0.0,0,0,17.975
6,1,91.0,Month-to-month,Fiber optic,1,1,1,3,7,9.5,1,0,22.75
69,0,19.75,Two year,No,0,0,0,0,2,2.0,0,0,19.75
72,0,109.7,Two year,Fiber optic,0,0,1,5,1,2.5,1,0,18.283333333333335
59,0,19.3,Two year,No,0,0,0,0,2,2.0,0,0,19.3
20,0,96.55,Month-to-month,Fiber optic,1,0,1,4,5,7.5,1,0,19.31
24,0,24.1,Two year,No,0,0,0,0,2,2.0,0,0,24.1
59,0,111.35,Month-to-month,Fiber optic,1,0,1,5,5,7.5,1,0,18.558333333333334
72,0,112.25,Two year,Fiber optic,0,0,1,5,1,2.5,1,0,18.708333333333332
1,0,20.75,Month-to-month,No,1,1,0,0,8,8.0,0,0,20.75
27,0,101.9,One year,Fiber optic,0,0,1,4,1,2.5,1,0,20.380000000000003
14,0,80.05,Month-to-month,Fiber optic,1,0,0,2,3,3.0,1,0,26.683333333333334
71,0,105.55,Two year,Fiber optic,0,0,1,4,2,3.5,1,0,21.11
13,0,78.3,Month-to-month,Fiber optic,1,0,0,1,5,7.0,1,1,39.15
44,0,68.85,Month-to-month,Fiber optic,1,0,0,0,5,7.0,1,1,68.85
33,0,79.95,One year,Fiber optic,0,0,0,2,0,0.0,1,0,26.650000000000002
72,0,55.45,Two year,DSL,0,0,0,5,0,0.0,0,0,9.241666666666667
1,1,79.9,Month-to-month,Fiber optic,1,1,0,1,8,10.0,1,1,39.95
19,1,106.6,Month-to-month,Fiber optic,1,0,1,5,5,7.5,1,0,17.766666666666666
64,0,102.45,One year,Fiber optic,0,0,1,5,1,2.5,1,0,17.075
2,1,46.0,Month-to-month,DSL,1,1,0,0,7,7.0,0,0,46.0
1,0,25.25,Month-to-month,DSL,1,1,0,0,8,8.0,0,0,25.25
61,0,19.75,Two year,No,0,0,0,0,3,3.0,0,0,19.75
29,0,20.0,One year,No,0,0,0,0,3,3.0,0,0,20.0
23,0,86.8,Month-to-month,Fiber optic,1,0,0,1,6,9.5,1,1,43.4
57,0,58.75,Month-to-month,DSL,1,0,0,5,3,3.0,0,0,9.791666666666666
72,0,45.25,Two year,DSL,0,0,0,4,0,0.0,0,0,9.05
66,0,56.6,Two year,DSL,0,0,0,5,0,0.0,0,0,9.433333333333334
65,0,84.2,Two year,DSL,0,0,0,5,0,0.0,0,0,14.033333333333333
8,0,80.0,Month-to-month,Fiber optic,1,0,0,1,5,7.0,1,1,40.0
4,1,70.15,Month-to-month,Fiber optic,1,1,0,0,8,11.0,1,1,70.15
71,0,24.75,Two year,No,0,0,0,0,2,2.0,0,0,24.75
1,0,20.2,One year,No,0,1,0,0,5,6.0,0,0,20.2
4,1,50.05,Month-to-month,DSL,1,1,0,1,8,8.0,0,0,25.025
12,0,19.35,One year,No,0,0,0,0,2,2.0,0,0,19.35
24,0,50.6,One year,DSL,0,0,0,3,1,2.0,0,0,12.65
31,0,81.15,One year,DSL,0,0,0,5,1,2.0,0,0,13.525
1,1,55.2,Month-to-month,DSL,1,1,0,1,8,8.0,0,0,27.6
30,0,89.9,Month-to-month,Fiber optic,1,0,1,2,4,7.5,1,1,29.96666666666667
47,0,85.3,Two year,DSL,0,0,0,5,0,0.0,0,0,14.216666666666667
54,0,108.0,Two year,Fiber optic,0,0,1,5,1,2.5,1,0,18.0
50,0,93.5,Month-to-month,Fiber optic,1,0,1,4,4,5.5,1,0,18.7
1,1,84.6,Month-to-month,Fiber optic,1,1,0,2,6,7.0,1,0,28.2
72,0,20.25,Two year,No,0,0,0,0,2,2.0,0,0,20.25
29,0,25.15,Month-to-month,No,1,0,0,0,6,6.0,0,0,25.15
2,1,54.4,Month-to-month,DSL,1,1,0,1,8,9.0,0,0,27.2
10,0,29.6,Two year,DSL,0,0,0,1,3,4.0,0,0,14.8
18,0,73.15,Month-to-month,Fiber optic,1,0,0,0,6,9.0,1,1,73.15
11,1,95.0,Month-to-month,Fiber optic,1,0,1,3,5,9.0,1,0,23.75
16,0,19.75,Two year,No,0,0,0,0,3,3.0,0,0,19.75
72,0,86.6,Two year,DSL,0,0,0,5,0,0.0,0,0,14.433333333333332
72,0,109.2,Two year,Fiber optic,0,0,1,5,1,2.5,1,0,18.2
41,0,74.7,One year,DSL,0,0,0,4,0,0.0,0,0,14.940000000000001
65,0,94.4,Month-to-month,Fiber optic,1,0,1,4,5,8.0,1,0,18.880000000000003
13,0,54.8,Month-to-month,DSL,1,0,0,2,4,6.5,0,0,18.266666666666666
4,0,75.35,Month-to-month,Fiber optic,1,1,0,1,8,9.5,1,0,37.675
41,0,65.0,One year,DSL,0,0,0,2,1,1.0,0,0,21.666666666666668
15,1,74.4,Month-to-month,Fiber optic,1,0,0,1,6,8.5,1,0,37.2
1,1,48.55,Month-to-month,DSL,1,1,0,1,8,9.0,0,0,24.275
42,0,99.0,One year,Fiber optic,0,0,1,4,2,4.5,1,0,19.8
51,0,93.5,One year,Fiber optic,0,0,1,4,2,4.5,1,0,18.7
2,1,70.4,Month-to-month,Fiber optic,1,1,0,0,8,10.0,1,1,70.4
1,1,40.2,Month-to-month,DSL,1,1,0,2,6,7.5,0,0,13.4
32,0,83.7,One year,DSL,0,0,0,5,0,0.0,0,0,13.950000000000001
10,0,19.85,Month-to-month,No,1,0,0,0,6,7.0,0,0,19.85
67,0,59.55,Two year,DSL,0,0,0,5,1,2.0,0,0,9.924999999999999
61,0,115.1,Two year,Fiber optic,0,0,1,6,1,2.5,1,0,16.442857142857143
50,0,114.35,One year,Fiber optic,0,0,1,6,1,2.5,1,0,16.335714285714285
2,1,44.6,Month-to-month,DSL,1,1,0,0,7,7.0,0,0,44.6
29,0,45.0,Month-to-month,DSL,1,0,0,3,4,6.5,0,0,11.25
3,1,41.15,Month-to-month,DSL,1,1,0,2,6,8.5,0,0,13.716666666666667
13,1,106.9,Month-to-month,Fiber optic,1,0,1,4,5,9.0,1,0,21.380000000000003
57,0,89.85,Month-to-month,Fiber optic,1,0,0,2,4,6.5,1,0,29.95
31,0,49.85,Two year,DSL,0,0,0,4,0,0.0,0,0,9.97
45,0,113.3,One year,Fiber optic,0,0,1,6,2,3.5,1,0,16.185714285714287
61,0,88.1,Two year,DSL,0,0,0,6,1,1.0,0,0,12.585714285714285
50,0,24.9,Two year,No,0,0,0,0,2,2.0,0,0,24.9
19,0,105.0,Month-to-month,Fiber optic,1,0,1,5,5,9.0,1,0,17.5
59,1,19.35,Two year,No,0,0,0,0,3,3.0,0,0,19.35
71,0,24.25,Two year,No,0,0,0,0,2,2.0,0,0,24.25
16,1,94.45,Month-to-month,Fiber optic,1,0,1,3,5,11.0,1,1,23.6125
57,0,59.75,Two year,DSL,0,0,0,3,1,2.0,0,0,14.9375
1,1,24.8,Month-to-month,DSL,1,1,0,0,7,7.0,0,0,24.8
20,0,107.05,Month-to-month,Fiber optic,1,0,1,4,5,8.0,1,0,21.41
1,1,70.6,Month-to-month,Fiber optic,1,1,0,0,8,10.0,1,1,70.6
5,1,85.4,Month-to-month,Fiber optic,1,1,0,2,6,7.0,1,0,28.46666666666667
52,1,105.05,Month-to-month,Fiber optic,1,0,1,4,5,7.5,1,0,21.009999999999998
21,0,64.95,Month-to-month,DSL,1,0,0,3,3,4.5,0,0,16.2375
14,0,55.0,Month-to-month,DSL,1,0,0,4,4,5.0,0,0,11.0
5,0,50.55,Month-to-month,DSL,1,1,0,1,7,7.0,0,0,25.275
6,0,55.15,Month-to-month,DSL,1,1,0,2,6,6.0,0,0,18.383333333333333
10,0,51.2,Month-to-month,DSL,1,0,0,1,6,6.0,0,0,25.6
1,0,25.4,Month-to-month,No,1,1,0,0,8,8.0,0,0,25.4
68,0,54.45,Month-to-month,DSL,1,0,0,1,6,6.0,0,0,27.225
18,1,95.15,Month-to-month,Fiber optic,1,0,1,3,5,6.5,1,0,23.7875
22,0,76.0,One year,Fiber optic,0,0,0,0,2,4.0,1,1,76.0
20,0,44.35,Month-to-month,DSL,1,0,0,0,6,7.0,0,0,44.35
1,1,70.0,Month-to-month,Fiber optic,1,1,0,0,8,10.0,1,1,70.0
8,1,74.5,Month-to-month,Fiber optic,1,0,0,1,6,8.5,1,0,37.25
10,1,44.85,Month-to-month,DSL,1,0,0,0,5,5.0,0,0,44.85
24,1,76.1,Month-to-month,Fiber optic,1,0,0,0,6,10.5,1,1,76.1
35,0,61.2,One year,DSL,0,0,0,3,1,1.0,0,0,15.3
23,0,86.8,One year,Fiber optic,0,0,0,3,1,1.0,1,0,21.7
6,0,89.35,Month-to-month,Fiber optic,1,1,0,2,6,10.5,1,1,29.78333333333333
12,0,19.7,Month-to-month,No,1,0,0,0,6,6.0,0,0,19.7
1,0,20.25,Month-to-month,No,1,1,0,0,8,8.0,0,0,20.25
71,0,76.05,Two year,Fiber optic,0,0,0,1,3,3.0,1,0,38.025
35,0,100.8,Month-to-month,Fiber optic,1,0,1,3,5,9.0,1,0,25.2
40,0,74.55,Month-to-month,DSL,1,0,0,3,4,5.0,0,0,18.6375
1,1,73.6,Month-to-month,Fiber optic,1,1,0,1,8,9.0,1,0,36.8
23,0,64.9,One year,DSL,0,0,0,2,0,0.0,0,0,21.633333333333336
4,1,95.45,Month-to-month,Fiber optic,1,1,1,2,7,13.0,1,1,31.816666666666666
4,0,90.4,Month-to-month,Fiber optic,1,1,1,3,7,9.5,1,0,22.6
68,0,60.3,Two year,DSL,0,0,0,5,0,0.0,0,0,10.049999999999999
38,0,81.85,Month-to-month,Fiber optic,1,0,0,1,6,7.0,1,0,40.925
52,0,24.8,Two year,No,0,0,0,0,3,3.0,0,0,24.8
32,1,74.9,Month-to-month,Fiber optic,1,0,0,0,6,10.5,1,1,74.9
29,0,75.55,Two year,DSL,0,0,0,4,1,1.0,0,0,15.11
38,0,101.15,Month-to-month,Fiber optic,1,0,1,3,5,8.0,1,0,25.2875
48,0,78.75,One year,DSL,0,0,0,4,0,0.0,0,0,15.75
1,0,19.25,Month-to-month,No,1,1,0,0,7,7.0,0,0,19.25
22,0,89.05,Month-to-month,Fiber optic,1,0,0,3,4,5.0,1,0,22.2625
43,0,115.05,Two year,Fiber optic,0,0,1,6,1,2.5,1,0,16.435714285714287
5,0,69.35,Month-to-month,Fiber optic,1,1,0,0,8,12.5,1,1,69.35
5,1,80.6,Month-to-month,Fiber optic,1,1,0,1,8,11.0,1,1,40.3
51,0,110.05,One year,Fiber optic,0,0,1,5,1,2.5,1,0,18.341666666666665
71,0,19.9,Two year,No,0,0,0,0,2,2.0,0,0,19.9
38,1,80.3,One year,DSL,0,0,0,5,0,0.0,0,0,13.383333333333333
24,1,93.15,Month-to-month,Fiber optic,1,0,1,3,5,9.0,1,0,23.2875
35,0,91.5,Month-to-month,Fiber optic,1,0,1,2,4,7.5,1,1,30.5
54,1,82.45,One year,DSL,0,0,0,5,0,0.0,0,0,13.741666666666667
72,0,60.0,Two year,DSL,0,0,0,5,1,2.0,0,0,10.0
1,0,44.8,Month-to-month,DSL,1,1,0,0,8,9.0,0,0,44.8
9,0,48.6,One year,DSL,0,0,0,1,3,3.0,0,0,24.3
69,0,60.05,Two year,DSL,0,0,0,5,0,0.0,0,0,10.008333333333333
52,0,102.7,Month-to-month,Fiber optic,1,0,1,4,4,5.5,1,0,20.54
11,0,82.9,Month-to-month,Fiber optic,1,0,0,2,4,8.5,1,1,27.633333333333336
2,1,70.35,Month-to-month,Fiber optic,1,1,0,0,8,12.5,1,1,70.35
28,0,35.9,Month-to-month,DSL,1,0,0,1,6,8.5,0,0,17.95
17,0,82.65,Month-to-month,Fiber optic,1,0,0,1,5,6.5,1,0,41.325
35,0,19.85,Two year,No,0,0,0,0,3,4.0,0,0,19.85
8,0,19.2,One year,No,0,0,0,0,3,4.0,0,0,19.2
46,0,94.9,One year,Fiber optic,0,0,1,3,1,2.5,1,0,23.725
